Title;Poster;Release Year;Description;Duration (minutes);Genre;Rating;Actors;Director(s);
Ad Astra;;;;;;;Brad Pitt;James Gray;
La La Land;;;;;;;Ryan Gosling|Emma Stone;Demien Chazelle;
Whiplash;;;;;;;J.K Simmons;Demien Chazelle;
The Favourite;;;;;;;;Yorgos Lanthimos;
Ex Machina;;;;;;;;Alex Garland;
I Tonya;;;;;;;Margot Robbie|Sebastian Stan;;
Once Upon a Time in Hollywood;;;;;;;Margot Robbie|Leonardo DiCaprio|Brad Pitt;Quentin Tarantino;
Pulp Fiction;;;;;;;Samuel L. Jackson|Uma Thurman|John Travolta|Bruce Willis;Quentin Tarantino;
Midsommar;;;;;;;Florence Pugh;Ari Aster;
The Lobster;;;;;;;Colin Farrell|Rachel Weiz;Yorgos Lanthimos;
Inglorious Bastards;;;;;;;Brad Pitt|Christopher Waltz;Quentin Tarantino;
Lost in Traslation;;;;;;;Scarlett Johansson|Bill Murray; ;
Maria Antoniette;;;;;;;Kirsten Dunst;Sofia Coppola;
Unbreakable;;;;;;;Samuel L. Jackson|Bruce Willis;M. Night Shyamalan;
The Village;;;;;;;Bryce Dallas Howard|Joaquin Phoenix|Sigourney Weaver;M. Night Shyamalan;
Alice in Wonderland;;;;;;;Mia Wachikowska|Johnny Depp|Helena Boham Carter;Tim Burton;
Split;;;;;;;James McAvoy|Anya Taylor-Joy;M. Night Shyamalan;
The Lighthouse;;;;;;;Robert Pattinson|Willem Dafoe;Robert Eggers;
The Witch;;;;;;;Anya Taylor-Joy;Robert Eggers;
Annihilation;;;;;;;Oscar Isaacs|Natalie Portman;Alex Garland;
Joker;;;;;;;Joaquin Phoenix|Robert DeNiro;Todd Phillips;
The Hangover;;;;;;;;Todd Phillips;
Little Women;;;;;;;Saorise Ronan|Florence Pugh|Timothee Chalamet;Greta Gerwig;
Edward Scissorhands;;;;;;;Johnny Depp|Winona Ryder;Tim Burton;
Lady Bird;;;;;;;Saorise Ronan|Timothee Chalamet;Greta Gerwig;
Alien;;;;;;;Sigourney Weaver;Ridley Scott;
Aliens;;;;;;;Sigourney Weaver;James Cameron;
Avatar;;;;;;;Sigourney Weaver|Zoe Saldana|Sam Worthington;James Cameron;
Titanic;;;;;;;Kate Winslet|Leonardo DiCaprio;James Cameron;
Zodiac;;;;;;;Robert Downey Jr|Jake Gyllenhaal|Mark Ruffalo;David Fincher;
Gone Girl;;;;;;;Ben Affleck|Rosamund Pike;David Fincher;
The Girl with the Dragon Tattoo;;;;;;;Rooney Mara|Daniel Craig;David Fincher;
The Social Network;;;;;;;Jesse Eisenberg;David Fincher;
Her;;;;;;;Rooney Mara|Joaquin Phoenix;Spike Jonze;
Cast Away;;;;;;;Tom Hanks;Robert Zemeckis;
Forrest Gump;;;;;;;Tom Hanks|Robin Wright;Robert Zemeckis;
Se7en;;;;;;;Brad Pitt|Morgan Freeman;David Fincher;
Fight Club;;;;;;;Brad Pitt|Edward Norton;David Fincher;
Identity;;;;;;;John Cusack;;
The Martian;;;;;;;Matt Damon;Ridley Scott;
Ford v Ferrari;;;;;;;Matt Damon|Christian Bale;;
Girl Interrupted;;;;;;;Winona Ryder|Angelina Jolie;;
Prisioners;;;;;;;Jake Gyllenhaal|Hugh Jackman;;
The Prestige;;;;;;;Hugh Jackman|Christian Bale|Scarlett Johansson;Christopher Nolan;
Arrival;;;;;;;Amy Adams;;
Memento;;;;;;;Guy Pearce;Christopher Nolan;
Inception;;;;;;;Leonardo DiCaprio|Ellen Page|Cillian Murphy;Christopher Nolan;
